shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_VP01_0,21.27907405,105.454625,1
shape_VP01_0,21.27827344,105.4607858,2
shape_VP01_0,21.27827833,105.4624738,3
shape_VP01_0,21.27909809,105.4638972,4
shape_VP01_0,21.2791566,105.46586,5
shape_VP01_0,21.27918658,105.4672103,6
shape_VP01_0,21.27971794,105.4695223,7
shape_VP01_0,21.28054385,105.4724486,8
shape_VP01_0,21.27877019,105.4839895,9
shape_VP01_0,21.27784706,105.4902609,10
shape_VP01_0,21.27802348,105.5059985,11
shape_VP01_0,21.27833762,105.5109677,12
shape_VP01_0,21.27881141,105.5198097,13
shape_VP01_0,21.2843847,105.5359952,14
shape_VP01_0,21.28799667,105.5460685,15
shape_VP01_0,21.29393552,105.5534783,16
shape_VP01_0,21.29637544,105.5563358,17
shape_VP01_0,21.29957958,105.5600386,18
shape_VP01_0,21.30167783,105.5626285,19
shape_VP01_0,21.30503446,105.5674955,20
shape_VP01_0,21.30587122,105.5701668,21
shape_VP01_0,21.30597739,105.5726528,22
shape_VP01_0,21.30631954,105.5761378,23
shape_VP01_0,21.30749087,105.5838994,24
shape_VP01_0,21.30798277,105.5860273,25
shape_VP01_0,21.30887331,105.5874687,26
shape_VP01_0,21.30872316,105.5898016,27
shape_VP01_0,21.30839449,105.5934486,28
shape_VP01_0,21.30920543,105.5941533,29
shape_VP01_0,21.31284383,105.5963925,30
shape_VP01_0,21.31361443,105.6006836,31
shape_VP01_0,21.31470507,105.6063581,32
shape_VP01_0,21.31293551,105.6118626,33
shape_VP01_0,21.31202974,105.6140181,34
shape_VP01_0,21.31259807,105.6149076,35
shape_VP01_0,21.31466449,105.6172917,36
shape_VP01_0,21.3152706,105.6219112,37
shape_VP01_0,21.31201783,105.6229,38
shape_VP01_0,21.3095715,105.624,39
shape_VP01_0,21.3070477,105.6250654,40
shape_VP01_0,21.30451878,105.6247,41
shape_VP01_0,21.30364195,105.6242797,42
shape_VP01_0,21.3011232,105.6263,43
shape_VP01_0,21.29888723,105.6291061,44
shape_VP01_0,21.29774854,105.6298048,45
shape_VP01_0,21.29260498,105.6309426,46
shape_VP01_0,21.28475551,105.6328482,47
shape_VP01_0,21.28270235,105.6358999,48
shape_VP01_0,21.282147,105.636944,49
shape_VP01_0,21.28077664,105.6413507,50
shape_VP01_0,21.2811247,105.6436171,51
shape_VP01_0,21.27906067,105.6461111,52
shape_VP01_0,21.2750493,105.6491113,53
shape_VP01_0,21.27176179,105.6504358,54
shape_VP01_0,21.27092962,105.650654,55
shape_VP01_0,21.26858105,105.6498622,56
shape_VP01_0,21.2658363,105.6527897,57
shape_VP01_0,21.26560285,105.6531477,58
shape_VP01_0,21.26198329,105.6543126,59
shape_VP01_0,21.26077033,105.655707,60
shape_VP01_0,21.25821067,105.6594534,61
shape_VP01_0,21.25595576,105.6658112,62
shape_VP01_0,21.25554538,105.6669311,63
shape_VP01_0,21.25135553,105.6695878,64
shape_VP01_0,21.2489572,105.6722304,65
shape_VP01_0,21.24422167,105.676952,66
shape_VP01_0,21.24027615,105.6807679,67
shape_VP01_0,21.23734329,105.6867143,68
shape_VP01_0,21.23430071,105.6888589,69
shape_VP01_0,21.23263476,105.6902207,70
shape_VP01_0,21.23099669,105.6931011,71
shape_VP01_0,21.23086421,105.6954287,72
shape_VP01_0,21.23108382,105.7027534,73
shape_VP01_0,21.23135728,105.711177,74
shape_VP01_0,21.23640208,105.7215488,75
shape_VP01_0,21.2399309,105.7294867,76
shape_VP01_0,21.24006307,105.7368301,77
shape_VP01_0,21.24016092,105.7397488,78
shape_VP01_0,21.23841455,105.7420947,79
shape_VP01_0,21.23575394,105.7461988,80
shape_VP01_0,21.2270857,105.7616642,81
shape_VP01_0,21.21797511,105.775509,82
shape_VP01_0,21.21647544,105.7783873,83
shape_VP01_0,21.21516527,105.7784302,84
shape_VP01_0,21.20297352,105.7796659,85
shape_VP01_0,21.19118553,105.7804589,86
shape_VP01_0,21.18636496,105.7806222,87
shape_VP01_1,21.18646123,105.7806005,1
shape_VP01_1,21.19282154,105.7807637,2
shape_VP01_1,21.20476687,105.7798765,3
shape_VP01_1,21.21486663,105.7787463,4
shape_VP01_1,21.21647544,105.7783873,5
shape_VP01_1,21.21872525,105.7752021,6
shape_VP01_1,21.22780444,105.7611462,7
shape_VP01_1,21.23599552,105.7463503,8
shape_VP01_1,21.23803088,105.7430157,9
shape_VP01_1,21.24016092,105.7397488,10
shape_VP01_1,21.24037455,105.7384523,11
shape_VP01_1,21.2399309,105.7294867,12
shape_VP01_1,21.236674,105.7215441,13
shape_VP01_1,21.23176581,105.7116483,14
shape_VP01_1,21.23113337,105.6998716,15
shape_VP01_1,21.23110673,105.6948016,16
shape_VP01_1,21.23099669,105.6931011,17
shape_VP01_1,21.23263476,105.6902207,18
shape_VP01_1,21.23345477,105.6897862,19
shape_VP01_1,21.23734329,105.6867143,20
shape_VP01_1,21.24027615,105.6807679,21
shape_VP01_1,21.24454606,105.6769967,22
shape_VP01_1,21.24903624,105.6726303,23
shape_VP01_1,21.25135553,105.6695878,24
shape_VP01_1,21.25554538,105.6669311,25
shape_VP01_1,21.25629529,105.6657241,26
shape_VP01_1,21.25821067,105.6594534,27
shape_VP01_1,21.26119341,105.6555625,28
shape_VP01_1,21.26198329,105.6543126,29
shape_VP01_1,21.26560285,105.6531477,30
shape_VP01_1,21.26588284,105.6528205,31
shape_VP01_1,21.26858105,105.6498622,32
shape_VP01_1,21.27087559,105.6506717,33
shape_VP01_1,21.27164751,105.650578,34
shape_VP01_1,21.27546541,105.6490248,35
shape_VP01_1,21.27879755,105.646431,36
shape_VP01_1,21.2811247,105.6436171,37
shape_VP01_1,21.28077479,105.6418093,38
shape_VP01_1,21.282147,105.636944,39
shape_VP01_1,21.28285676,105.6360052,40
shape_VP01_1,21.28475551,105.6328482,41
shape_VP01_1,21.29448867,105.6306133,42
shape_VP01_1,21.29731668,105.6302473,43
shape_VP01_1,21.29878315,105.6303779,44
shape_VP01_1,21.29911889,105.629714,45
shape_VP01_1,21.29896692,105.629202,46
shape_VP01_1,21.30106823,105.6268,47
shape_VP01_1,21.30364195,105.6242797,48
shape_VP01_1,21.30441633,105.6249,49
shape_VP01_1,21.3070477,105.6250654,50
shape_VP01_1,21.30959899,105.6242,51
shape_VP01_1,21.31205532,105.6231,52
shape_VP01_1,21.31499863,105.6197309,53
shape_VP01_1,21.31466449,105.6172917,54
shape_VP01_1,21.31268623,105.6149549,55
shape_VP01_1,21.31202974,105.6140181,56
shape_VP01_1,21.31314352,105.6117381,57
shape_VP01_1,21.31471677,105.6066523,58
shape_VP01_1,21.31384306,105.6006107,59
shape_VP01_1,21.31295878,105.596253,60
shape_VP01_1,21.30954748,105.5940813,61
shape_VP01_1,21.30839449,105.5934486,62
