route_id,service_id,trip_id,shape_id
VP01,WD,trip_VP01_04h50_0,shape_VP01_0
VP01,WD,trip_VP01_05h20_0,shape_VP01_0
VP01,WD,trip_VP01_05h40_0,shape_VP01_0
VP01,WD,trip_VP01_05h50_0,shape_VP01_0
VP01,WD,trip_VP01_06h00_0,shape_VP01_0
VP01,WD,trip_VP01_06h10_0,shape_VP01_0
VP01,WD,trip_VP01_06h20_0,shape_VP01_0
VP01,WD,trip_VP01_06h50_0,shape_VP01_0
VP01,WD,trip_VP01_07h10_0,shape_VP01_0
VP01,WD,trip_VP01_07h30_0,shape_VP01_0
VP01,WD,trip_VP01_08h00_0,shape_VP01_0
VP01,WD,trip_VP01_08h30_0,shape_VP01_0
VP01,WD,trip_VP01_09h00_0,shape_VP01_0
VP01,WD,trip_VP01_09h30_0,shape_VP01_0
VP01,WD,trip_VP01_10h00_0,shape_VP01_0
VP01,WD,trip_VP01_10h30_0,shape_VP01_0
VP01,WD,trip_VP01_11h00_0,shape_VP01_0
VP01,WD,trip_VP01_11h20_0,shape_VP01_0
VP01,WD,trip_VP01_12h00_0,shape_VP01_0
VP01,WD,trip_VP01_12h30_0,shape_VP01_0
VP01,WD,trip_VP01_13h00_0,shape_VP01_0
VP01,WD,trip_VP01_13h30_0,shape_VP01_0
VP01,WD,trip_VP01_14h00_0,shape_VP01_0
VP01,WD,trip_VP01_14h30_0,shape_VP01_0
VP01,WD,trip_VP01_15h00_0,shape_VP01_0
VP01,WD,trip_VP01_15h30_0,shape_VP01_0
VP01,WD,trip_VP01_16h00_0,shape_VP01_0
VP01,WD,trip_VP01_16h20_0,shape_VP01_0
VP01,WD,trip_VP01_16h40_0,shape_VP01_0
VP01,WD,trip_VP01_17h00_0,shape_VP01_0
VP01,WD,trip_VP01_17h20_0,shape_VP01_0
VP01,WD,trip_VP01_17h40_0,shape_VP01_0
VP01,WD,trip_VP01_18h00_0,shape_VP01_0
VP01,WD,trip_VP01_18h30_0,shape_VP01_0
VP01,WD,trip_VP01_19h00_0,shape_VP01_0
VP01,WD,trip_VP01_05h10_1,shape_VP01_1
VP01,WD,trip_VP01_05h30_1,shape_VP01_1
VP01,WD,trip_VP01_05h50_1,shape_VP01_1
VP01,WD,trip_VP01_06h20_1,shape_VP01_1
VP01,WD,trip_VP01_06h40_1,shape_VP01_1
VP01,WD,trip_VP01_07h00_1,shape_VP01_1
VP01,WD,trip_VP01_07h20_1,shape_VP01_1
VP01,WD,trip_VP01_07h40_1,shape_VP01_1
VP01,WD,trip_VP01_08h00_1,shape_VP01_1
VP01,WD,trip_VP01_08h20_1,shape_VP01_1
VP01,WD,trip_VP01_09h00_1,shape_VP01_1
VP01,WD,trip_VP01_09h30_1,shape_VP01_1
VP01,WD,trip_VP01_10h00_1,shape_VP01_1
VP01,WD,trip_VP01_10h30_1,shape_VP01_1
VP01,WD,trip_VP01_11h00_1,shape_VP01_1
VP01,WD,trip_VP01_11h30_1,shape_VP01_1
VP01,WD,trip_VP01_12h00_1,shape_VP01_1
VP01,WD,trip_VP01_12h30_1,shape_VP01_1
VP01,WD,trip_VP01_13h00_1,shape_VP01_1
VP01,WD,trip_VP01_13h30_1,shape_VP01_1
VP01,WD,trip_VP01_14h00_1,shape_VP01_1
VP01,WD,trip_VP01_14h30_1,shape_VP01_1
VP01,WD,trip_VP01_15h00_1,shape_VP01_1
VP01,WD,trip_VP01_15h30_1,shape_VP01_1
VP01,WD,trip_VP01_16h00_1,shape_VP01_1
VP01,WD,trip_VP01_16h20_1,shape_VP01_1
VP01,WD,trip_VP01_16h40_1,shape_VP01_1
VP01,WD,trip_VP01_17h00_1,shape_VP01_1
VP01,WD,trip_VP01_17h20_1,shape_VP01_1
VP01,WD,trip_VP01_17h40_1,shape_VP01_1
VP01,WD,trip_VP01_18h00_1,shape_VP01_1
VP01,WD,trip_VP01_18h30_1,shape_VP01_1
VP01,WD,trip_VP01_19h00_1,shape_VP01_1
VP01,WD,trip_VP01_19h30_1,shape_VP01_1
VP01,WD,trip_VP01_20h00_1,shape_VP01_1
VP04,WD,trip_VP04_05h20_0,shape_VP04_0
VP04,WD,trip_VP04_05h50_0,shape_VP04_0
VP04,WD,trip_VP04_06h20_0,shape_VP04_0
VP04,WD,trip_VP04_07h00_0,shape_VP04_0
VP04,WD,trip_VP04_07h40_0,shape_VP04_0
VP04,WD,trip_VP04_08h20_0,shape_VP04_0
VP04,WD,trip_VP04_09h00_0,shape_VP04_0
VP04,WD,trip_VP04_09h50_0,shape_VP04_0
VP04,WD,trip_VP04_10h40_0,shape_VP04_0
VP04,WD,trip_VP04_11h20_0,shape_VP04_0
VP04,WD,trip_VP04_12h00_0,shape_VP04_0
VP04,WD,trip_VP04_12h50_0,shape_VP04_0
VP04,WD,trip_VP04_13h40_0,shape_VP04_0
VP04,WD,trip_VP04_14h20_0,shape_VP04_0
VP04,WD,trip_VP04_15h00_0,shape_VP04_0
VP04,WD,trip_VP04_15h40_0,shape_VP04_0
VP04,WD,trip_VP04_16h20_0,shape_VP04_0
VP04,WD,trip_VP04_17h00_0,shape_VP04_0
VP04,WD,trip_VP04_17h20_0,shape_VP04_0
VP04,WD,trip_VP04_18h10_0,shape_VP04_0
VP04,WD,trip_VP04_05h30_1,shape_VP04_1
VP04,WD,trip_VP04_05h50_1,shape_VP04_1
VP04,WD,trip_VP04_06h40_1,shape_VP04_1
VP04,WD,trip_VP04_07h20_1,shape_VP04_1
VP04,WD,trip_VP04_08h00_1,shape_VP04_1
VP04,WD,trip_VP04_08h40_1,shape_VP04_1
VP04,WD,trip_VP04_09h20_1,shape_VP04_1
VP04,WD,trip_VP04_10h00_1,shape_VP04_1
VP04,WD,trip_VP04_10h40_1,shape_VP04_1
VP04,WD,trip_VP04_11h20_1,shape_VP04_1
VP04,WD,trip_VP04_12h10_1,shape_VP04_1
VP04,WD,trip_VP04_13h00_1,shape_VP04_1
VP04,WD,trip_VP04_13h40_1,shape_VP04_1
VP04,WD,trip_VP04_14h30_1,shape_VP04_1
VP04,WD,trip_VP04_15h10_1,shape_VP04_1
VP04,WD,trip_VP04_16h10_1,shape_VP04_1
VP04,WD,trip_VP04_16h40_1,shape_VP04_1
VP04,WD,trip_VP04_17h20_1,shape_VP04_1
VP04,WD,trip_VP04_18h10_1,shape_VP04_1
VP04,WD,trip_VP04_19h10_1,shape_VP04_1
VP08,WD,trip_VP08_05h10_0,shape_VP08_0
VP08,WD,trip_VP08_05h40_0,shape_VP08_0
VP08,WD,trip_VP08_06h10_0,shape_VP08_0
VP08,WD,trip_VP08_06h40_0,shape_VP08_0
VP08,WD,trip_VP08_07h20_0,shape_VP08_0
VP08,WD,trip_VP08_08h10_0,shape_VP08_0
VP08,WD,trip_VP08_09h00_0,shape_VP08_0
VP08,WD,trip_VP08_09h40_0,shape_VP08_0
VP08,WD,trip_VP08_10h20_0,shape_VP08_0
VP08,WD,trip_VP08_11h00_0,shape_VP08_0
VP08,WD,trip_VP08_11h50_0,shape_VP08_0
VP08,WD,trip_VP08_12h40_0,shape_VP08_0
VP08,WD,trip_VP08_13h30_0,shape_VP08_0
